target;Area Name;Type;State;Region;CDU 2005;SPD 2005;FDP 2005;GREEN 2005;LEFT 2005;Non-Voters 2005;CDU 2009;SPD 2009;FDP 2009;GREEN 2009;LEFT 2009;Non-Voters 2009;Pop. density;Elderly pop.;Old pop.;Mid-aged pop.;Young pop.;Children pop.;Migration balance;Social welfare;Poor elderly inh.;Poor child.;High-school degree;No school degree;Child care;Business Regstr.;Income;Employees;GPD;Unemployed;Unemployed Youth;Permanently unemployed ;Agricult. workf.;Ind. workf.;Service workf.;Pub. serv. workf.;Cars;Tractors;Registrd. Web Doms.;Bankruptcies
-1;Kyffhaeuserkreis;Rural;Thuringia;East;24.8;30.1;6.6;3.3;29.7;26.6;29.6;17.6;8.5;3.9;34.7;38.4;79.8;24.2;31.9;23.6;7.8;12.6;-7;0.3;20.1;11.3;38.7;6.1;26;64.9;14320;33.4;15315;17;14;44;1.2;13.9;8.8;12;539;5;0.048;82.7
-1;Schmalkalden-Meiningen;Rural;Thuringia;East;25.6;29.6;8.3;4.2;26.9;26;30.6;17.8;9.7;5.4;30.1;37.2;108.5;23.5;31.4;24.8;8.2;12.1;-6;0.2;21.9;7.4;39.5;9.2;27;72.1;15760;37.8;19007;8.8;8.1;35;1;37.7;18.3;16.6;562;4;0.073;98.8
-1;Gotha;Rural;Thuringia;East;26.5;31.1;7.9;4.4;24.2;24.9;31.5;20.6;8.9;5.1;27;35.2;148.4;22.9;31.1;24.9;7.7;13.4;-4;0.3;17.5;10.7;41.6;6.6;27;67.9;15635;37.4;20096;9.3;8.6;33;1.5;35.3;21.2;17.9;518;2;0.067;65
-1;Soemmerda;Rural;Thuringia;East;27.9;26.8;8.7;3.9;26.7;25.2;32.3;16.6;10.2;4.7;29.2;36.3;91.6;20.9;32.3;25.5;7.8;13.4;-5;0.4;15.8;23.9;36;7.1;30;63.8;15404;37.7;16084;14.7;13.1;46;1.4;15.9;8.5;6.7;529;4;0.074;81.4
-1;Hildburghausen;Rural;Thuringia;East;25.9;31.1;7.3;3.2;26.5;25.4;30.4;17.5;9.5;4.6;31.3;37.1;72.3;21.9;31.3;25.6;8.5;12.6;-7;0.4;20.8;8.5;31.6;5.1;28;71.8;15904;41.5;17146;7.6;6.5;30;1.1;16.5;7.4;7;581;6;0.057;109
-1;Ilm-Kreis;Rural;Thuringia;East;26.3;30.4;7.3;4.5;25.3;23.4;29.9;18.5;9.1;6;28.7;34.2;133.8;23.3;30.7;25;8.7;12.3;-1;0.3;11.3;21;43.4;7.2;29;75.8;15690;35.5;20082;11.8;9.6;40;0.8;30.3;16.3;13.2;512;3;0.096;50.6
-1;Weimarer-Land;Rural;Thuringia;East;27.2;28.5;8.8;4.8;23.7;23.5;32.5;17.2;11.4;5.9;26.3;33.6;105.8;20.3;32.3;25.8;7.8;13.8;-3;0.3;14.1;10.3;39.1;5.1;32;90.2;14753;38.4;16712;10.1;9.7;32;1.1;17.3;10.7;9.1;543;4;0.076;58.7
-1;Sonneberg;Rural;Thuringia;East;24.5;29.8;6.4;3.2;29.1;27;30.7;16.3;8.5;3.5;34.4;38.4;139.7;24.9;31.7;24.2;7.5;11.7;-5;0.2;22.9;2.3;35.6;6;25;78.5;16634;39.1;18929;7.9;8.5;23;0.4;19.7;8.1;6.6;549;3;0.067;71.4
-1;Saalfeld-Rudolstadt;Rural;Thuringia;East;24.4;29.5;7.7;3.9;27.4;24.3;29.7;17.2;9.9;5;29.9;35.7;114.3;25.8;31.2;23.7;7.7;11.5;-6;0.4;12.8;18.4;36.7;8.6;28;65.7;15483;36;18614;10.9;10.5;31;1.1;28.5;16;15;523;4;0.064;96.8
-1;Saale-Holzland-Kreis;Rural;Thuringia;East;25.3;28.6;8.4;4.2;27.4;21.9;31.7;16.1;10.9;5.3;29.4;32.3;107;22.4;32;25;7.8;12.9;-6;0.2;10.3;12.1;38.8;6;32;78.2;15821;38.5;17121;9.3;9.4;31;1.4;20.3;14;8.5;549;5;0.188;85.5
-1;Saale-Orla-Kreis;Rural;Thuringia;East;25.9;28.9;7.9;3.7;27.4;23.1;31.2;17.2;10.3;4.6;30;33.7;77.2;23.7;31.6;24.2;7.9;12.7;-7;0.5;13.8;14;38.7;6.8;25;74.7;15472;38;19388;9.4;8.1;36;1.9;29.6;11.6;9.7;572;7;0.061;83.9
-1;Greiz;Rural;Thuringia;East;27.1;27.3;9.4;4.2;26.1;22.3;33;16.2;11.4;4.8;27.9;33.3;129.2;25.4;32.2;23.1;7.1;12;-8;0.3;15.6;9.2;40.1;6.6;27;81.8;16229;35;15495;11.3;9.7;37;1.3;23;13.2;10.4;560;4;0.066;74.8
-1;Altenburger Land;Rural;Thuringia;East;26.4;28.1;8.3;3.5;27.2;26.5;32.6;16.8;10.3;3.6;29.6;38.6;176.1;26.8;31.3;23.1;7.3;11.6;-9;0.3;20.1;9.7;39.8;5.8;28;73.2;15359;33.5;16012;16;12.1;52;1;20.2;13.3;10.6;519;2;0.05;76.4
-1;Flensburg;Urban;Schleswig-Holstein;North;28.8;43.5;8.7;10.4;6.4;26.8;24.7;28;14.4;16.1;11.6;32.6;1559.8;19.6;24.3;29.1;11.7;15.4;-1;0.6;19.5;6.6;41.8;7.2;12;104.6;15450;28.1;34238;11.5;11.7;30;0.1;14.2;26.4;21;438;2;0.141;203.6
-1;Kiel;Urban;Schleswig-Holstein;North;27.8;42.3;8.4;13.1;6.2;23;24.4;30;12.9;17.6;9.9;28.3;2008.3;18.5;25.5;30.9;10.8;14.5;4;0.5;23.9;10.4;36.1;7.1;16;103.6;15983;31.2;37297;11.4;9.7;38;0.1;33.1;69.1;70.2;404;1;0.172;150.2
-1;Luebeck;Urban;Schleswig-Holstein;North;30.6;44;8.3;9.2;5.7;26.9;26.6;30.5;14;13.9;10.1;31.7;979.5;23.1;25.9;26.6;8.8;15.7;-1;0.8;24.1;6.6;27.7;7.7;14;94.1;17588;30.3;28469;12.2;13.2;44;0.3;37.9;55.2;41.3;413;1;0.137;116.2
-1;Neumuenster;Urban;Schleswig-Holstein;North;33.3;42.4;9.4;6.5;5.1;27.5;30.1;31;15;11;8.4;34.6;1073.5;21.9;26.2;25.2;8.9;17.8;1;1;14.9;8.7;35.8;5.8;12;108.7;16815;31.1;30206;11;12.8;30;0.4;14.4;23.3;13.4;477;1;0.096;131.5
-1;Dithmarschen;Rural;Schleswig-Holstein;North;41.7;35.7;10.5;5.1;4.5;22.7;36.5;24.3;18.8;8.4;7.9;28.9;94.7;23.1;27.4;23.6;7.7;18.3;1;0.4;22.8;6.7;20.9;7.2;7;108.6;17800;29.4;23551;9.7;11.2;35;3.3;20.2;21.5;18.1;523;8;0.106;86.7
-1;Herzogtum Lauenburg;Rural;Schleswig-Holstein;North;36.9;36.7;10.8;8.6;4.6;19.5;32.6;26.1;16.9;12.1;8.2;24.4;147.8;21.6;27.6;25.2;7.2;18.4;2;0.5;15;11.4;20;7.6;13;94.4;19604;33.8;18427;6.5;7.4;34;2.2;23.9;25.6;21.8;534;4;0.143;70.3
-1;Nordfriesland;Rural;Schleswig-Holstein;North;41.4;36.4;9.9;6.7;3.6;21.8;36.3;24.6;16.5;12.6;6.3;27.7;79.6;22.2;26.8;25.1;7.8;18.2;1;0.4;25.8;4.3;18.2;6.4;10;129.5;17675;31.1;28054;7.9;8.1;3;3.9;18.9;34.8;29;542;7;0.166;76.7
-1;Ostholstein;Rural;Schleswig-Holstein;North;37.9;38.7;10.4;6.6;4.2;21;32.8;28.4;17.7;10.5;7.2;27;147.2;25.4;28.7;23.4;6.8;15.7;5;0.7;28.7;4.3;20.3;7.2;12;101.3;18516;30.1;19067;8;8.6;34;2.7;20.7;35.3;30.4;526;4;0.132;140.5
