target;Area Name;Type;State;Region;CDU 2005;SPD 2005;FDP 2005;GREEN 2005;LEFT 2005;Non-Voters 2005;CDU 2009;SPD 2009;FDP 2009;GREEN 2009;LEFT 2009;Non-Voters 2009;Pop. density;Elderly pop.;Old pop.;Mid-aged pop.;Young pop.;Children pop.;Migration balance;Social welfare;Poor elderly inh.;Poor child.;High-school degree;No school degree;Child care;Business Regstr.;Income;Employees;GPD;Unemployed;Unemployed Youth;Permanently unemployed ;Agricult. workf.;Ind. workf.;Service workf.;Pub. serv. workf.;Cars;Tractors;Registrd. Web Doms.;Bankruptcies
1;Mueritz;Rural;Mecklenburg-Vorpommern;East;30;30.9;6.2;4;24.1;29.2;33.8;17.6;9;4.8;29.6;38.6;38.1;22.2;31.8;24.5;8.1;13.4;-5;0.6;16.9;10.2;40.3;15.9;22;74;15086;35.8;;13.4;10;26;;;;;520;4;0.089;184.7
1;Nordvorpommern;Rural;Mecklenburg-Vorpommern;East;35.6;26.1;6.8;2.8;23.9;29.8;38.3;13.3;10.9;4.2;28;39.4;49.1;22.7;32.9;23.9;7.5;13;-8;0.5;14.7;11.3;31;12.6;20;73.2;14922;34.2;;15.7;13.3;27;;;;;539;3;0.073;43.6
1;Nordwestmecklenburg;Rural;Mecklenburg-Vorpommern;East;28.6;35.4;6;4.3;21.6;28.8;33;18.2;9.7;5.5;28.4;37;56.4;19;31.8;26.2;7.9;15.1;-4;0.5;22.1;10.1;30.8;15.9;20;83.4;15417;38.6;;11.5;11.6;32;;;;;545;4;0.063;63.7
1;Ostvorpommern;Rural;Mecklenburg-Vorpommern;East;37.1;23.8;6.7;2.6;22.6;29.8;38.1;11.6;11;4;27.3;39.7;55.4;23;32.7;23.3;8;12.9;-4;0.7;21.1;6.6;31.9;14.4;21;69.3;14619;34.6;;16.3;14.3;5;;;;;522;3;0.076;60.5
1;Parchim;Rural;Mecklenburg-Vorpommern;East;29.7;32.1;6.7;3.7;23.3;28.1;34.7;17.9;9.7;4.7;28;36.1;43.4;21.9;33.7;23.6;7.7;13.1;-9;0.6;21.5;9;35.6;12.7;18;63.2;15793;36.1;;12.2;10.8;34;;;;;542;4;0.062;44.6
1;Ruegen;Rural;Mecklenburg-Vorpommern;East;35.3;23.2;8.5;3.1;25.1;32.7;34.9;11.6;12.9;4.6;30.4;42.2;69.7;23;33.3;23;8.4;12.3;-6;0.5;26.5;1.5;33;10.4;22;90.9;15039;37.7;;13.7;11.7;22;;;;;485;2;0.138;34.1
1;Uecker-Randow;Rural;Saxony;East;33.2;23.5;5.6;2.3;27.4;29.9;35.4;13.7;8.4;2.9;29.8;37.8;45;23.3;33.2;23;7.9;12.6;-10;0.5;27.2;5.3;32.4;12;21;69.6;13919;29.9;;18.7;14;28;;;;;498;3;0.038;179.4
1;Chemnitz;Urban;Saxony;East;24.3;26.7;9.8;5.5;26.4;24;30.5;17.1;12.7;7.1;28.6;33.8;1100.7;27.1;28.6;24.3;8.3;11.7;2;0.2;19.1;13.5;38.5;9.6;16;91.4;16641;33.4;26308;;;17;0.3;45.7;68.9;47.3;485;1;0.11;149.2
1;Erzgebirgskreis;Rural;Saxony;East;33.3;20.8;10.4;2.8;22.7;22.9;38.3;12.5;13.7;3.9;25.4;35.3;203.7;24.9;31.3;23.3;7.5;13;-8;0.3;17.8;9.6;34.5;6.1;15;68;15548;35.5;16315;;;14;3.3;95.4;45.9;43.3;547;2;0.063;102.8
1;Mittelsachsen;Rural;Saxony;East;32.8;22;10.7;3.3;22.7;23.3;38.5;13.6;13.7;4.4;24.4;35.1;157.2;25.5;30;24;7.8;12.8;-6;0.3;17.6;8.1;38.9;7.9;17;68.5;15968;36.3;20569;;;10;4.5;84.1;48.1;41.3;545;3;0.071;102.4
1;Vogtlandkreis;Rural;Saxony;East;30;25.1;10.3;3.8;23;25;36.7;15;12.5;5;26.1;35.7;175.1;26.6;30.6;23.2;7.4;12.2;-5;0.3;18.5;8.1;36.4;8.2;16;69.8;16062;35.1;18574;;;12;2.1;60.3;36;31.1;547;3;0.07;130.7
1;Zwickau;Rural;Saxony;East;29.7;25.5;9.5;3.5;24.7;24.8;36;14.9;12.4;4.6;27.3;36.1;363.5;26.2;30.1;23.5;7.8;12.4;-4;0.2;3.1;9.5;37.8;8.2;16;73.9;16050;35.1;20717;;;15;2.1;83.8;59.9;46.4;528;2;0.068;115.7
1;Dresden;Urban;Saxony;East;26.1;26.5;13.9;8.6;19.7;25.5;33.6;15;13.6;12.6;21.2;32.4;1574.9;22.2;23.6;30;10.8;13.3;8;0.3;21.9;10.7;45.3;8;18;117.9;16135;35.2;28514;;;15;0.6;82.6;135.2;113.8;392;0;0.173;128.8
1;Bautzen;Rural;Saxony;East;32.2;21.3;10.1;3.4;23.9;23.3;38.8;12.7;14;4.5;23.7;34.6;136;24.8;30.1;24;7.8;13.3;-8;0.3;24.9;4.9;39.6;9.7;17;63.6;15987;35.7;18564;;;6;3;71.9;49;41.6;552;3;0.068;107.6
1;Goerlitz;Rural;Saxony;East;32;21;9.2;3.7;24.6;25.8;37.4;12.6;13.1;4.8;24.6;37.3;133.5;26.7;30.5;22.5;7.5;12.8;-7;0.5;23.6;6.4;33.6;9;16;91.9;15003;31.4;18885;;;10;2.7;50.6;36.9;40.2;515;2;0.072;116.1
1;Meissen;Rural;Saxony;East;32;22;10.7;4.5;21.8;23.3;37.5;13.1;14.5;5.8;22.7;35.3;175.2;25.2;29.7;24.3;7.5;13.3;-4;0.3;21.2;10.5;37.3;8.5;16;76.7;16303;35.7;19312;;;7;3;59;38.7;30.8;515;2;0.075;115.5
1;Saechsische Schweiz-Osterzgebirge;Rural;Saxony;East;35.1;20.1;10.9;4.2;19.8;22.4;40.3;12;14.3;5.3;20.8;34.5;153.5;25.1;29.5;24.2;7.7;13.5;-2;0.3;14.1;10.4;38.1;9.5;16;75.7;16094;35.8;16394;;;14;3;48.3;33.5;30.5;533;2;0.084;88.5
1;Leipzig;Urban;Saxony;East;24.5;32.3;7.9;8.3;22.5;25.4;28;18.1;12.3;12;25.5;33.9;1744.9;22.6;25.2;30.2;9.5;12.5;7;0.3;17;14.7;44.7;10.2;18;116;15157;32.7;25562;;;18;0.3;62.3;154;96.8;370;0;0.193;227.1
1;Leipzig;Rural;Saxony;East;30.9;26.5;9.2;4.1;22.7;24;36.7;16;13.2;5.1;23.8;35.8;163.7;23.8;30.9;24.5;7.7;13.1;-4;0.3;19.1;9.2;36.7;8.4;18;81.5;16432;36.2;18729;;;11;2.7;45;36.5;28.9;537;3;0.076;167
1;Nordsachsen;Rural;Saxony;East;31;25.5;8.9;3.4;24.2;25.6;35.6;15.7;12.7;4.4;25.7;38.6;103.3;23.3;30.9;24.7;8.1;13.1;-8;0.3;16.3;8.8;40.5;10.5;18;83;15658;36.5;20123;;;16;3.6;40.2;36.1;25.3;532;3;0.058;129.4
1;Dessau-Rosslau;Urban;Saxony-Anhalt;East;22;33.6;9;5.6;26.3;27.7;29;17.2;10.4;6.4;32.2;38.3;358.8;28;30.8;22.5;7.7;11;-4;0.4;25.8;10.8;41;5.9;21;72.1;16134;33.7;23264;14.7;15.1;39;0.4;16.3;18.4;15.4;477;1;0.067;165.2
1;Halle (Saale);Urban;Saxony-Anhalt;East;20.4;33.6;9;7.2;26.8;28.8;25.9;16.2;11.1;9.3;32.1;37.7;1720.7;23.5;26.8;26.8;10.1;12.8;0;0.7;20.1;10.9;40.5;11.2;22;73.3;15294;32.4;23665;14.8;12.9;43;0.1;19.8;54.1;58.1;376;0;0.093;120.9
1;Magdeburg;Urban;Saxony-Anhalt;East;20.7;37.3;6.4;6.1;26.7;28.9;26.9;19.3;8.9;7.6;32.1;38.9;1147.8;23.8;27.3;26.5;10.5;11.9;5;0.4;18.6;10.6;45.2;9.7;22;92.8;15556;33.8;28604;13.7;14.3;43;0.1;29.4;65.7;55.1;432;1;0.097;209.5
1;Altmarkkreis Salzwedel;Rural;Saxony-Anhalt;East;27.6;32.6;6.3;3.4;26.7;27.8;31.2;17.8;8.7;4.7;32.6;37;39.5;22;31.2;24.4;8.3;14;-11;0.9;20.1;5.9;32.5;11.3;21;58;15519;38.5;18316;13.4;14.3;43;2.3;17.1;12.6;11.4;557;5;0.058;96.5
1;Anhalt-Bitterfeld;Rural;Saxony-Anhalt;East;25;31.7;8.8;3.3;26.6;29.5;30.9;16.7;10.4;3.8;32.7;40.9;123.4;25;31.3;23.6;8.2;11.9;-8;0.4;24.5;11.8;36.8;11.3;23;62.9;15483;35.8;19717;15;13.1;41;1.9;45.6;25.7;18.9;521;2;0.057;142.3
1;Boerde;Rural;Saxony-Anhalt;East;26.6;34.1;7.6;3.2;24.9;29.4;31.7;18;11;4.1;30.2;38.8;76.4;21;32.1;25.6;8;13.3;-7;0.5;29.2;4.1;31.3;9.3;22;62.2;16136;40.5;20236;9.5;10.5;33;2.7;38.7;25.3;18;569;3;0.05;194.3
1;Burgenlandkreis;Rural;Saxony-Anhalt;East;26.3;29;8.9;3.3;26.8;30;31.7;15.5;11.3;3.8;31.9;40.4;138.9;25.9;30.9;23.4;7.8;11.9;-7;0.4;25.7;12.4;37.2;12.3;22;62.2;15609;34;17685;16.5;15.9;43;1.7;30.8;28.1;22.2;515;3;0.054;116.1
